#"Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Speed (ns/day)"
1540.0000000843645,-19030.042338237312,5662.274087094689,-13367.768251142623,302.27045067524017,27.7
1550.0000000864018,-19199.79555322061,5586.001980737298,-13613.793572483311,297.44273342793514,27.7
1560.000000088439,-19200.505546953973,5491.41385375128,-13709.091693202692,294.1035288197725,27.7
1570.0000000904763,-18914.910783030275,5667.024309316205,-13247.886473714068,302.8449440930312,27.7
1580.0000000925136,-19142.17684694775,5434.1418565172135,-13708.034990430537,291.7457335940824,27.7
1590.0000000945508,-19118.7316164113,5427.269039741032,-13691.462576670267,289.06404724924846,27.7
1600.000000096588,-18960.293276489694,5489.759483102862,-13470.533793386832,293.5115437412471,27.7
1610.0000000986254,-19107.127833929888,5559.368474875875,-13547.759359054013,296.6680055540975,27.7
1620.0000001006626,-19001.89588188885,5704.30254535863,-13297.593336530219,305.05410722493167,27.7
1630.0000001027,-19214.957821176846,5532.941865900478,-13682.015955276369,294.0543008344426,27.7
1640.0000001047372,-19279.513276988055,5497.395852040048,-13782.117424948006,293.2509409996855,27.7
1650.0000001067745,-19410.40817513936,5398.846061151945,-14011.562113987417,288.4514542972689,27.7
1660.0000001088117,-19031.321094366544,5429.724147518327,-13601.596946848216,290.19954359819957,27.7
1670.000000110849,-19552.903233414465,5597.51416410302,-13955.389069311444,299.1839062903442,27.7
1680.0000001128863,-19153.204556304063,5754.25396065187,-13398.950595652193,307.21951890748113,27.7
1690.0000001149235,-19181.25817796964,5397.600292492706,-13783.657885476936,286.6077484598091,27.7
1700.0000001169608,-19187.991582467894,5405.328573591257,-13782.663008876636,288.2165767919874,27.7
1710.000000118998,-19380.869468341087,5680.827265938769,-13700.042202402317,302.5890042298993,27.7
1720.0000001210353,-19363.691691015756,5652.214425095352,-13711.477265920403,301.2781451753059,27.7
1730.0000001230726,-19318.640575780555,5632.836958029526,-13685.80361775103,298.9379171470799,27.7
1740.0000001251099,-19092.47547447562,5548.047544936261,-13544.42792953936,295.32084888056175,27.7
1750.0000001271471,-19178.31844299877,5701.854898047077,-13476.463544951694,303.078524566179,27.7
1760.0000001291844,-19085.031809041193,5695.208890513179,-13389.822918528014,303.17026531769073,27.7
1770.0000001312217,-19109.805930657054,5465.0747040954775,-13644.731226561576,291.91983381786537,27.7
1780.000000133259,-19372.598689335813,5308.858800342626,-14063.739888993186,282.4808052335257,27.7
1790.0000001352962,-19243.264632820505,5580.994905081773,-13662.26972773873,297.48156280069173,27.7
1800.0000001373335,-19077.934629730724,5635.517662432086,-13442.416967298639,299.6110905574006,27.7
1810.0000001393707,-19426.517558905747,5436.595036855264,-13989.922522050483,291.1271053240231,27.7
1820.000000141408,-19204.757466958865,5665.353820668253,-13539.403646290612,301.33383321514475,27.7
1830.0000001434453,-19337.063231874927,5809.040088529666,-13528.02314334526,309.8046521968889,27.7
1840.0000001454825,-19192.58909209962,5806.042624924351,-13386.54646717527,309.684124556825,27.7
1850.0000001475198,-18982.80881694867,5564.809649778436,-13417.999167170234,297.0762984197878,27.7
1860.000000149557,-19051.941654948383,5578.036964892186,-13473.904690056197,297.0602966707259,27.7
1870.0000001515943,-19382.554112228438,5600.676641750413,-13781.877470478024,298.79625641598847,27.7
1880.0000001536316,-18725.52760067368,5440.1766804625095,-13285.350920211169,290.9831905931414,27.7
1890.0000001556689,-19302.768631174953,5488.349221578917,-13814.419409596036,292.02414789551983,27.7
1900.0000001577062,-19267.34025739728,5561.467916326706,-13705.872341070575,298.340099178926,27.7
1910.0000001597434,-19479.72497817883,5604.9089300601845,-13874.816048118646,298.0353678329013,27.7
1920.0000001617807,-18981.51697861168,5455.870719788769,-13525.64625882291,291.3227282965092,27.7
1930.000000163818,-19289.198449828287,5638.72590219239,-13650.472547635898,301.44045957959213,27.7
1940.0000001658552,-19221.46287365889,5625.633006817844,-13595.829866841046,300.1772093924025,27.7
1950.0000001678925,-19274.96095536725,5679.240375318172,-13595.720580049077,301.5331292929384,27.7
1960.0000001699298,-19122.797831088727,5542.505038771079,-13580.292792317647,295.43963285447035,27.7
1970.000000171967,-19040.252167055874,5341.695900581136,-13698.556266474738,285.796735709754,27.7
1980.0000001740043,-19655.70766707149,5510.861092145492,-14144.846574925996,294.12454069028763,27.7
1990.0000001760416,-19361.290139749097,5346.448365272086,-14014.84177447701,285.556610668005,27.7
2000.0000001780788,-19377.823889564985,5517.865338696835,-13859.958550868148,294.12349548689406,27.7
2010.000000180116,-19248.914760753516,5728.265757905894,-13520.649002847622,306.0966087467276,27.7
2020.0000001821534,-19326.736827781962,5828.570637642018,-13498.166190139946,312.32327146718393,27.7
2030.0000001841906,-19147.12450159379,5644.276938245139,-13502.84756334865,300.0510513372932,27.7
2040.000000186228,-19234.355559505966,5594.408935626401,-13639.946623879565,298.33862811089534,27.7
2050.000000188265,-19665.857437137576,5738.654161777513,-13927.203275360063,306.18164693423336,27.7
2060.000000190302,-19367.12011452387,5672.7192025092,-13694.40091201467,301.2671093691011,27.7
2070.0000001923395,-19283.403008388537,5864.278947979533,-13419.124060409005,312.9273186974426,27.7
2080.0000001943768,-19042.796161406186,5546.412249662685,-13496.383911743502,296.7571971382478,27.7
2090.000000196414,-19141.300854419238,5547.9142853432695,-13593.386569075969,295.8448055720665,27.7
2100.0000001984513,-19226.397324541576,5558.664520916031,-13667.732803625546,296.8826078167211,27.7
2110.0000002004886,-19350.279977655373,5534.315503037201,-13815.964474618173,294.56149719105764,27.7
2120.000000202526,-19302.00127699653,5663.739028460668,-13638.26224853586,301.7920876275698,27.7
2130.000000204563,-19083.070687577132,5654.6079958437485,-13428.462691733384,300.96508961702244,27.7
2140.0000002066004,-19139.98348673172,5668.960625858659,-13471.02286087306,302.38954547112127,27.7
2150.0000002086376,-19113.81223521091,5539.666551282575,-13574.145683928335,294.89399980226347,27.7
2160.000000210675,-19048.482379904588,5471.041859095848,-13577.440520808741,291.1198986212458,27.7
